alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Acquedotto Marcianella,LUNI (ORTONOVO),<0.05,<0.05,443,156.2,0.04,27.3,665,04/06/19,40.5,<0.05,3.8,<5,1,<0.05,7.1,0.9,665.3,16.7,16.4
Acquedotto Ortonovo capoluogo,LUNI (ORTONOVO),<0.05,<0.05,86.6,25,0.1,16.7,454,04/06/19,8.2,<0.05,4.8,<5,1.4,<0.05,7.8,0.8,161.3,12.5,13.5
Acquedotto Pistello,LUNI (ORTONOVO),<0.05,<0.05,421.6,137.3,0.08,21,620,04/06/19,36.1,<0.05,4.4,<5,1.6,<0.05,7.0,1.1,616.9,14.2,15.7
Acquedotto San Giuseppe,LUNI (ORTONOVO),<0.05,<0.05,279.5,94,0.1,33.4,536,20/03/19,27.4,<0.05,9.7,<5,4.4,<0.05,7.5,2.1,490.1,23,44
Acquedotto Fegina,MONTEROSSO,<0.05,0.18,277.6,34.2,0.04,66,593,24/07/19,22.8,<0.05,34.6,<5,6.6,<0.05,7.6,0.8,489.3,34.4,35.1
Acquedotto Fegina (Padre Semeria),MONTEROSSO,<0.05,,288.6,52.7,0.23,67.1,616,06/06/19,33,<0.05,48.2,,7.3,<0.05,7.7,0.8,544.8,42.1,38
Acquedotto Monte Albereto,MONTEROSSO,<0.05,0.34,70.8,20.8,0.35,15.8,153,26/02/19,6.3,0.1,2.7,<5,0.4,<0.05,7.5,0.8,128.9,10,7.5
Acquedotto Monterosso Fegina,MONTEROSSO,<0.05,<0.05,291.7,52.5,0.29,63.1,583,26/02/19,30.4,<0.05,42.1,<5,8.5,<0.05,7.6,1,539.7,41.2,39.6
Acquedotto capoluogo (centro storico),MONTEROSSO,<0.05,0.09,105.6,30.5,0.32,20.2,217,26/02/19,9.4,0.1,4.4,<5,1.4,<0.05,7.8,1,189.2,13.4,12.6
Acquedotto Casale,PIGNONE,<0.05,0.43,50,12.9,,8.5,89,07/03/19,3.9,0.1,1.6,<5,0.1,<0.05,7.6,0.6,88,7.7,6.5
Acquedotto Faggiona,PIGNONE,<0.05,0.63,68.3,18.8,,9.1,131,07/03/19,5.5,<0.05,1.9,<5,0.1,<0.05,7.8,0.6,115,8.2,8
Acquedotto Pignone capoluogo,PIGNONE,<0.05,0.51,68.3,17.9,,8.6,127,07/03/19,5.2,<0.05,1.9,<5,0.3,<0.05,7.7,0.7,111.1,7.7,5.7
Acquedotto Puin,PIGNONE,<0.05,0.23,70.8,20.6,0.2,15.9,158,07/03/19,6.3,0.1,2.7,<5,0.4,<0.05,7.9,0.8,128.7,9.9,7.5
Acquedotto Villa,PIGNONE,<0.05,1.40,68.3,17.9,0.13,8.5,136,14/10/19,5.4,<0.05,2.3,<5,0.3,<0.05,7.7,0.7,175.5,8,8.7
